DATE,TIME,DOY,ASY-D,ASY-H,SYM-D,SYM-H
11/01/2020,00:00.0,11,21,5,-3,-11
11/01/2020,01:00.0,11,21,5,-4,-11
11/01/2020,02:00.0,11,22,5,-4,-11
11/01/2020,03:00.0,11,22,5,-4,-11
11/01/2020,04:00.0,11,22,4,-4,-11
11/01/2020,05:00.0,11,21,6,-4,-11
11/01/2020,06:00.0,11,21,5,-4,-11
11/01/2020,07:00.0,11,21,5,-4,-10
11/01/2020,08:00.0,11,22,7,-4,-10
11/01/2020,09:00.0,11,22,7,-4,-10
11/01/2020,10:00.0,11,22,6,-4,-11
11/01/2020,11:00.0,11,21,6,-4,-11
11/01/2020,12:00.0,11,21,7,-4,-11
11/01/2020,13:00.0,11,21,5,-4,-12
11/01/2020,14:00.0,11,20,6,-4,-12
11/01/2020,15:00.0,11,20,6,-4,-12
11/01/2020,16:00.0,11,20,6,-4,-12
11/01/2020,17:00.0,11,19,6,-4,-12
11/01/2020,18:00.0,11,20,5,-5,-11
11/01/2020,19:00.0,11,20,6,-4,-11
11/01/2020,20:00.0,11,21,6,-4,-11
11/01/2020,21:00.0,11,21,6,-4,-11
11/01/2020,22:00.0,11,21,6,-4,-10
11/01/2020,23:00.0,11,22,6,-4,-10
11/01/2020,24:00.0,11,22,6,-3,-10
11/01/2020,25:00.0,11,22,7,-4,-10
11/01/2020,26:00.0,11,21,7,-4,-10
11/01/2020,27:00.0,11,20,6,-4,-10
11/01/2020,28:00.0,11,19,6,-4,-11
11/01/2020,29:00.0,11,18,4,-4,-11
11/01/2020,30:00.0,11,17,5,-4,-11
11/01/2020,31:00.0,11,17,4,-4,-11
11/01/2020,32:00.0,11,18,4,-5,-12
11/01/2020,33:00.0,11,18,4,-4,-12
11/01/2020,34:00.0,11,18,4,-4,-11
11/01/2020,35:00.0,11,18,4,-4,-11
11/01/2020,36:00.0,11,17,4,-4,-11
11/01/2020,37:00.0,11,16,4,-4,-11
11/01/2020,38:00.0,11,16,5,-5,-11
11/01/2020,39:00.0,11,16,5,-5,-11
11/01/2020,40:00.0,11,17,4,-4,-11
11/01/2020,41:00.0,11,16,5,-5,-11
11/01/2020,42:00.0,11,16,5,-5,-11
11/01/2020,43:00.0,11,17,4,-5,-11
11/01/2020,44:00.0,11,18,3,-5,-11
11/01/2020,45:00.0,11,18,3,-5,-11
11/01/2020,46:00.0,11,18,3,-4,-11
11/01/2020,47:00.0,11,18,5,-4,-11
11/01/2020,48:00.0,11,18,4,-4,-11
11/01/2020,49:00.0,11,18,4,-4,-11
11/01/2020,50:00.0,11,18,4,-4,-12
11/01/2020,51:00.0,11,17,6,-4,-12
11/01/2020,52:00.0,11,17,4,-4,-12
11/01/2020,53:00.0,11,17,4,-4,-12
11/01/2020,54:00.0,11,17,5,-4,-12
